,Symbol,Date,Open,High,Low,Close
0,180640:KS,02/11/2018,19550.0,20100.0,19550.0,20100.0
1,180640:KS,01/11/2018,19150.0,20000.0,19000.0,19500.0
2,180640:KS,31/10/2018,18600.0,19450.0,18150.0,19300.0
3,180640:KS,30/10/2018,18000.0,18850.0,18000.0,18600.0
4,180640:KS,29/10/2018,18700.0,19200.0,18050.0,18500.0
5,180640:KS,26/10/2018,19850.0,19950.0,18700.0,19050.0
6,180640:KS,25/10/2018,19600.0,19800.0,19150.0,19800.0
7,180640:KS,24/10/2018,20250.0,20350.0,19700.0,19900.0
8,180640:KS,23/10/2018,20400.0,20500.0,19150.0,19800.0
9,180640:KS,22/10/2018,20950.0,20950.0,19800.0,20350.0
10,180640:KS,19/10/2018,20450.0,21200.0,20250.0,20950.0
11,180640:KS,18/10/2018,19700.0,21150.0,19650.0,20550.0
12,180640:KS,17/10/2018,19350.0,19850.0,19100.0,19800.0
13,180640:KS,16/10/2018,19550.0,19950.0,18900.0,19000.0
14,180640:KS,15/10/2018,20000.0,20000.0,19250.0,19700.0
15,180640:KS,12/10/2018,20400.0,20400.0,19550.0,19950.0
16,180640:KS,11/10/2018,19800.0,20650.0,19600.0,20650.0
17,180640:KS,10/10/2018,21400.0,21400.0,20050.0,20450.0
18,180640:KS,08/10/2018,21400.0,21850.0,20850.0,21350.0
19,180640:KS,05/10/2018,21650.0,21950.0,21150.0,21950.0
20,180640:KS,04/10/2018,22200.0,22350.0,21350.0,22050.0
21,180640:KS,02/10/2018,22950.0,22950.0,22050.0,22200.0
22,180640:KS,01/10/2018,22700.0,23250.0,22600.0,23000.0
23,180640:KS,28/09/2018,22200.0,22600.0,22050.0,22500.0
24,180640:KS,27/09/2018,22050.0,22200.0,21350.0,22100.0
25,180640:KS,21/09/2018,22450.0,22750.0,21800.0,22050.0
26,180640:KS,20/09/2018,22300.0,22300.0,21750.0,22200.0
27,180640:KS,19/09/2018,22300.0,22650.0,21900.0,22300.0
28,180640:KS,18/09/2018,22350.0,23050.0,22000.0,22500.0
29,180640:KS,17/09/2018,21650.0,22550.0,21650.0,22500.0
30,180640:KS,14/09/2018,21300.0,22250.0,21100.0,21700.0
31,180640:KS,13/09/2018,20000.0,21050.0,20000.0,21050.0
32,180640:KS,12/09/2018,19850.0,20650.0,19750.0,19950.0
33,180640:KS,11/09/2018,18250.0,19300.0,18100.0,19300.0
34,180640:KS,10/09/2018,18400.0,18550.0,17900.0,18200.0
35,180640:KS,07/09/2018,17600.0,18500.0,17500.0,18500.0
36,180640:KS,06/09/2018,17700.0,17750.0,17450.0,17500.0
37,180640:KS,05/09/2018,17950.0,18050.0,17650.0,17650.0
38,180640:KS,04/09/2018,17800.0,17950.0,17500.0,17900.0
39,180640:KS,03/09/2018,18050.0,18250.0,17700.0,17800.0
40,180640:KS,31/08/2018,18550.0,18550.0,17950.0,18100.0
