,Symbol,Date,Open,High,Low,Close
0,UNIB:SS,11/12/2018,85.88,87.14,84.24,84.34
1,UNIB:SS,10/12/2018,86.06,86.62,83.7,84.22
2,UNIB:SS,07/12/2018,87.62,89.78,85.8,86.06
3,UNIB:SS,06/12/2018,89.6,89.6,85.42,86.24
4,UNIB:SS,05/12/2018,88.0,90.44,87.24,89.76
5,UNIB:SS,04/12/2018,91.0,91.2,89.28,89.28
6,UNIB:SS,03/12/2018,90.38,91.86,90.08,91.0
7,UNIB:SS,30/11/2018,89.1,89.5,87.62,88.74
8,UNIB:SS,29/11/2018,89.58,90.76,88.6,88.86
9,UNIB:SS,28/11/2018,89.34,89.44,88.02,88.3
10,UNIB:SS,27/11/2018,89.5,89.56,87.86,88.66
11,UNIB:SS,26/11/2018,89.0,89.96,88.14,89.06
12,UNIB:SS,23/11/2018,88.36,89.64,87.8,88.78
13,UNIB:SS,22/11/2018,89.52,89.9,88.34,88.36
14,UNIB:SS,21/11/2018,89.64,90.98,88.4,89.08
15,UNIB:SS,20/11/2018,91.9,91.9,88.12,89.44
16,UNIB:SS,19/11/2018,94.38,95.62,91.82,92.06
17,UNIB:SS,16/11/2018,94.48,96.44,93.5,94.38
18,UNIB:SS,15/11/2018,97.96,98.32,93.98,94.44
19,UNIB:SS,14/11/2018,95.18,98.2,94.0,97.0
20,UNIB:SS,13/11/2018,96.2,97.64,94.3,95.3
21,UNIB:SS,12/11/2018,101.2,101.5,96.26,96.4
22,UNIB:SS,09/11/2018,101.3,102.2,100.15,100.8
23,UNIB:SS,08/11/2018,102.55,103.55,101.1,101.7
24,UNIB:SS,07/11/2018,102.05,102.45,99.88,101.6
25,UNIB:SS,06/11/2018,102.05,102.65,100.05,101.7
26,UNIB:SS,05/11/2018,103.65,104.85,100.7,101.35
27,UNIB:SS,02/11/2018,102.2,103.8,100.55,103.5
28,UNIB:SS,01/11/2018,97.94,100.7,97.0,100.25
29,UNIB:SS,31/10/2018,96.12,98.3,95.62,97.62
30,UNIB:SS,30/10/2018,94.86,95.42,93.16,94.4
31,UNIB:SS,29/10/2018,94.94,97.26,93.7,93.9
32,UNIB:SS,26/10/2018,90.0,93.46,86.02,92.08
33,UNIB:SS,25/10/2018,83.84,87.34,82.6,85.92
34,UNIB:SS,24/10/2018,85.36,85.76,83.78,84.18
35,UNIB:SS,23/10/2018,86.6,86.64,84.24,84.5
36,UNIB:SS,22/10/2018,88.76,89.68,86.24,86.78
37,UNIB:SS,19/10/2018,89.7,89.7,87.26,88.46
38,UNIB:SS,18/10/2018,90.5,91.6,89.38,89.74
39,UNIB:SS,17/10/2018,93.02,93.68,90.22,90.4
40,UNIB:SS,16/10/2018,89.44,93.28,88.74,92.68
41,UNIB:SS,15/10/2018,90.54,90.98,88.18,89.3
42,UNIB:SS,12/10/2018,90.94,92.28,89.72,90.52
43,UNIB:SS,11/10/2018,89.0,90.9,88.0,89.94
44,UNIB:SS,10/10/2018,92.1,92.64,90.68,90.8
45,UNIB:SS,09/10/2018,94.06,94.46,91.68,92.32
46,UNIB:SS,08/10/2018,96.3,96.5,92.74,93.86
47,UNIB:SS,05/10/2018,96.7,97.34,95.66,96.04
48,UNIB:SS,04/10/2018,99.58,99.84,96.56,96.68
49,UNIB:SS,03/10/2018,99.18,100.25,97.68,99.6
50,UNIB:SS,02/10/2018,101.55,101.55,99.06,99.34
51,UNIB:SS,01/10/2018,100.0,102.15,100.0,101.85
52,UNIB:SS,28/09/2018,100.05,100.85,99.68,99.8
53,UNIB:SS,27/09/2018,100.5,100.7,99.8,100.0
54,UNIB:SS,26/09/2018,101.15,101.25,100.15,100.15
55,UNIB:SS,25/09/2018,101.35,101.95,100.8,101.1
56,UNIB:SS,24/09/2018,104.35,104.35,100.6,101.3
57,UNIB:SS,21/09/2018,104.35,105.2,104.15,104.35
58,UNIB:SS,20/09/2018,106.7,107.0,103.9,104.1
59,UNIB:SS,19/09/2018,103.05,103.95,103.05,103.35
60,UNIB:SS,18/09/2018,103.8,104.65,102.25,102.4
61,UNIB:SS,17/09/2018,105.15,105.7,103.7,103.7
62,UNIB:SS,14/09/2018,104.25,106.3,104.25,106.0
63,UNIB:SS,13/09/2018,103.5,105.55,103.3,104.2
64,UNIB:SS,12/09/2018,103.4,105.15,102.65,104.3
65,UNIB:SS,11/09/2018,103.75,103.95,102.3,103.7
66,UNIB:SS,10/09/2018,103.65,104.3,102.65,103.9
67,UNIB:SS,07/09/2018,104.65,105.4,103.25,103.75
68,UNIB:SS,06/09/2018,107.5,107.5,104.65,104.65
69,UNIB:SS,05/09/2018,108.6,109.35,107.1,107.6
70,UNIB:SS,04/09/2018,111.3,111.9,108.6,109.1
71,UNIB:SS,03/09/2018,112.8,113.2,111.6,111.95
72,UNIB:SS,31/08/2018,114.05,115.95,112.4,112.4
73,UNIB:SS,30/08/2018,112.85,114.55,112.5,114.2
74,UNIB:SS,29/08/2018,114.25,114.8,113.15,113.3
75,UNIB:SS,28/08/2018,113.4,115.0,113.4,114.3
76,UNIB:SS,27/08/2018,112.55,114.15,112.25,113.6
77,UNIB:SS,24/08/2018,113.1,113.3,111.85,112.6
78,UNIB:SS,23/08/2018,114.1,114.85,112.85,113.35
79,UNIB:SS,22/08/2018,113.15,114.35,112.75,114.05
80,UNIB:SS,21/08/2018,112.45,113.6,111.5,113.35
81,UNIB:SS,20/08/2018,111.0,112.45,110.25,112.3
82,UNIB:SS,17/08/2018,107.9,111.4,107.05,110.8
83,UNIB:SS,16/08/2018,108.2,109.1,107.65,107.95
84,UNIB:SS,15/08/2018,109.25,110.75,108.05,108.45
85,UNIB:SS,14/08/2018,109.2,109.55,106.95,109.0
86,UNIB:SS,13/08/2018,109.5,110.2,108.4,109.0
87,UNIB:SS,10/08/2018,111.85,111.85,108.55,109.95
88,UNIB:SS,09/08/2018,112.2,112.25,111.0,111.9
89,UNIB:SS,08/08/2018,111.45,113.35,110.75,111.75
90,UNIB:SS,07/08/2018,112.1,112.8,111.25,112.1
91,UNIB:SS,06/08/2018,113.05,113.5,111.6,112.15
92,UNIB:SS,03/08/2018,113.35,113.6,112.5,113.0
93,UNIB:SS,02/08/2018,112.0,113.2,110.8,113.0
94,UNIB:SS,01/08/2018,113.15,113.15,108.05,112.5
95,UNIB:SS,31/07/2018,114.0,114.75,112.45,113.55
96,UNIB:SS,30/07/2018,113.65,114.0,112.55,113.8
97,UNIB:SS,27/07/2018,112.3,115.05,111.1,113.65
98,UNIB:SS,26/07/2018,114.6,114.7,111.1,112.1
99,UNIB:SS,25/07/2018,119.9,122.6,113.45,113.7
100,UNIB:SS,24/07/2018,129.55,131.0,128.75,130.5
101,UNIB:SS,23/07/2018,129.0,131.9,127.7,128.4
102,UNIB:SS,20/07/2018,126.25,129.6,125.6,128.85
103,UNIB:SS,19/07/2018,128.0,130.25,126.5,126.65
104,UNIB:SS,18/07/2018,125.4,127.65,125.4,126.15
105,UNIB:SS,17/07/2018,126.1,126.3,124.15,124.45
106,UNIB:SS,16/07/2018,124.6,127.1,121.2,125.45
107,UNIB:SS,13/07/2018,127.35,127.35,124.35,124.6
108,UNIB:SS,12/07/2018,123.8,126.75,123.0,126.4
109,UNIB:SS,11/07/2018,123.0,124.25,120.55,123.8
110,UNIB:SS,10/07/2018,119.8,123.25,119.8,123.1
111,UNIB:SS,09/07/2018,117.5,119.7,116.65,119.4
112,UNIB:SS,06/07/2018,115.8,118.35,115.25,118.1
113,UNIB:SS,05/07/2018,115.45,116.8,114.45,115.0
