,Symbol,Date,Open,High,Low,Close
0,2264:JP,11/12/2018,3225.0,3270.0,3140.0,3165.0
1,2264:JP,10/12/2018,3250.0,3260.0,3165.0,3190.0
2,2264:JP,07/12/2018,3260.0,3260.0,3190.0,3250.0
3,2264:JP,06/12/2018,3275.0,3300.0,3215.0,3240.0
4,2264:JP,05/12/2018,3230.0,3310.0,3215.0,3300.0
5,2264:JP,04/12/2018,3340.0,3350.0,3245.0,3250.0
6,2264:JP,03/12/2018,3365.0,3385.0,3340.0,3370.0
7,2264:JP,30/11/2018,3270.0,3330.0,3265.0,3325.0
8,2264:JP,29/11/2018,3295.0,3320.0,3240.0,3245.0
9,2264:JP,28/11/2018,3420.0,3420.0,3340.0,3340.0
10,2264:JP,27/11/2018,3415.0,3425.0,3365.0,3370.0
11,2264:JP,26/11/2018,3430.0,3470.0,3370.0,3415.0
12,2264:JP,22/11/2018,3340.0,3415.0,3325.0,3410.0
13,2264:JP,21/11/2018,3330.0,3380.0,3310.0,3340.0
14,2264:JP,20/11/2018,3285.0,3370.0,3255.0,3360.0
15,2264:JP,19/11/2018,3330.0,3370.0,3290.0,3300.0
16,2264:JP,16/11/2018,3305.0,3330.0,3280.0,3310.0
17,2264:JP,15/11/2018,3300.0,3345.0,3285.0,3305.0
18,2264:JP,14/11/2018,3290.0,3325.0,3280.0,3300.0
19,2264:JP,13/11/2018,3300.0,3300.0,3210.0,3265.0
20,2264:JP,12/11/2018,3275.0,3350.0,3265.0,3340.0
21,2264:JP,09/11/2018,3130.0,3315.0,3115.0,3280.0
22,2264:JP,08/11/2018,3040.0,3125.0,3025.0,3115.0
23,2264:JP,07/11/2018,3010.0,3040.0,2981.0,3005.0
24,2264:JP,06/11/2018,3015.0,3065.0,2991.0,2995.0
25,2264:JP,05/11/2018,2968.0,3035.0,2967.0,2997.0
26,2264:JP,02/11/2018,3045.0,3070.0,2851.0,3015.0
27,2264:JP,01/11/2018,3020.0,3095.0,3010.0,3095.0
28,2264:JP,31/10/2018,2987.0,3010.0,2953.0,3010.0
29,2264:JP,30/10/2018,2930.0,3000.0,2920.0,2991.0
30,2264:JP,29/10/2018,2780.0,2923.0,2764.0,2914.0
31,2264:JP,26/10/2018,2861.0,2871.0,2829.0,2846.0
32,2264:JP,25/10/2018,2916.0,2938.0,2882.0,2890.0
33,2264:JP,24/10/2018,2889.0,2991.0,2875.0,2963.0
34,2264:JP,23/10/2018,2980.0,2998.0,2861.0,2866.0
35,2264:JP,22/10/2018,2999.0,3030.0,2963.0,3020.0
36,2264:JP,19/10/2018,3050.0,3085.0,2999.0,3000.0
37,2264:JP,18/10/2018,3055.0,3085.0,3040.0,3050.0
38,2264:JP,17/10/2018,2951.0,3025.0,2948.0,3020.0
39,2264:JP,16/10/2018,2915.0,2936.0,2899.0,2925.0
40,2264:JP,15/10/2018,2982.0,2990.0,2903.0,2903.0
41,2264:JP,12/10/2018,2950.0,3015.0,2940.0,2996.0
42,2264:JP,11/10/2018,3060.0,3075.0,2960.0,2968.0
43,2264:JP,10/10/2018,3065.0,3150.0,3045.0,3130.0
44,2264:JP,09/10/2018,3135.0,3135.0,3040.0,3070.0
45,2264:JP,05/10/2018,3090.0,3145.0,3065.0,3140.0
46,2264:JP,04/10/2018,3155.0,3155.0,3050.0,3075.0
47,2264:JP,03/10/2018,3165.0,3200.0,3150.0,3150.0
